age,education,gender,vision_impairment,stimulusName,rationale,stimulusOrder,designName,designCost,rank,designOrder,userKey,compTime,tunedCost,excluded
35-44,Associate or Bachelors degree,Female,no,Stimulus 1,The worst one has no smooth transition into the proper finale. The best one not only easily transititions  but is easy to follow.,0,stage3-rank1,0.08484,2,2,EZH0YonIj3N0FNYnXEIcel6a2xy1,336183,0.69883,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 3,On the 5th which I ranked 1st it smoothly changes without any question of how the end result is because it's instant. The first one I ranked worst because it's hard to understand because the slow transition makes you think the results aren't right.,1,stage1-rank1,0.36439,1,4,EZH0YonIj3N0FNYnXEIcel6a2xy1,150493,0.04096,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 3,On the 5th which I ranked 1st it smoothly changes without any question of how the end result is because it's instant. The first one I ranked worst because it's hard to understand because the slow transition makes you think the results aren't right.,1,stage2-rank1,0.22139,3,2,EZH0YonIj3N0FNYnXEIcel6a2xy1,150493,0.47506,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 3,On the 5th which I ranked 1st it smoothly changes without any question of how the end result is because it's instant. The first one I ranked worst because it's hard to understand because the slow transition makes you think the results aren't right.,1,stage2-rank2,1.39426,4,3,EZH0YonIj3N0FNYnXEIcel6a2xy1,150493,1.57981,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 3,On the 5th which I ranked 1st it smoothly changes without any question of how the end result is because it's instant. The first one I ranked worst because it's hard to understand because the slow transition makes you think the results aren't right.,1,stage2-rank3,2.46565,2,1,EZH0YonIj3N0FNYnXEIcel6a2xy1,150493,2.90487,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 3,On the 5th which I ranked 1st it smoothly changes without any question of how the end result is because it's instant. The first one I ranked worst because it's hard to understand because the slow transition makes you think the results aren't right.,1,stage3-rank1,0.48871,5,0,EZH0YonIj3N0FNYnXEIcel6a2xy1,150493,1.24883,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one is best as it shows a transitiion that is not confusing. It allows me to focus on the bit presented and then the whole picture quite easily. The 3rd one is the worst because it not only shows the transition in the worst way, but it's hard to understand and see.  It changes, fades out, then changes again. It's too convoluted.",2,stage1-rank1,0.11439,1,0,EZH0YonIj3N0FNYnXEIcel6a2xy1,440851,0,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one is best as it shows a transitiion that is not confusing. It allows me to focus on the bit presented and then the whole picture quite easily. The 3rd one is the worst because it not only shows the transition in the worst way, but it's hard to understand and see.  It changes, fades out, then changes again. It's too convoluted.",2,stage2-rank1,0,4,3,EZH0YonIj3N0FNYnXEIcel6a2xy1,440851,0.15487,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one is best as it shows a transitiion that is not confusing. It allows me to focus on the bit presented and then the whole picture quite easily. The 3rd one is the worst because it not only shows the transition in the worst way, but it's hard to understand and see.  It changes, fades out, then changes again. It's too convoluted.",2,stage2-rank2,0.41565,2,1,EZH0YonIj3N0FNYnXEIcel6a2xy1,440851,0.85487,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one is best as it shows a transitiion that is not confusing. It allows me to focus on the bit presented and then the whole picture quite easily. The 3rd one is the worst because it not only shows the transition in the worst way, but it's hard to understand and see.  It changes, fades out, then changes again. It's too convoluted.",2,stage2-rank3,0.91565,3,4,EZH0YonIj3N0FNYnXEIcel6a2xy1,440851,1.35487,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one is best as it shows a transitiion that is not confusing. It allows me to focus on the bit presented and then the whole picture quite easily. The 3rd one is the worst because it not only shows the transition in the worst way, but it's hard to understand and see.  It changes, fades out, then changes again. It's too convoluted.",2,stage3-rank1,0,5,2,EZH0YonIj3N0FNYnXEIcel6a2xy1,440851,0.69883,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 4,The third one is straight to the point and leaves no guesses. It is the smoothest and wastes no time. The second one is the worst because it is too stilted and has essentially three moves before where it needs to end up.,3,stage1-rank1,1.01439,1,2,EZH0YonIj3N0FNYnXEIcel6a2xy1,266829,0.39096,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 4,The third one is straight to the point and leaves no guesses. It is the smoothest and wastes no time. The second one is the worst because it is too stilted and has essentially three moves before where it needs to end up.,3,stage2-rank1,0.74426,4,0,EZH0YonIj3N0FNYnXEIcel6a2xy1,266829,0.92981,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 4,The third one is straight to the point and leaves no guesses. It is the smoothest and wastes no time. The second one is the worst because it is too stilted and has essentially three moves before where it needs to end up.,3,stage2-rank2,1.11565,5,1,EZH0YonIj3N0FNYnXEIcel6a2xy1,266829,1.25487,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 4,The third one is straight to the point and leaves no guesses. It is the smoothest and wastes no time. The second one is the worst because it is too stilted and has essentially three moves before where it needs to end up.,3,stage2-rank3,1.64426,3,3,EZH0YonIj3N0FNYnXEIcel6a2xy1,266829,1.52981,FALSE
35-44,Associate or Bachelors degree,Female,no,Stimulus 4,The third one is straight to the point and leaves no guesses. It is the smoothest and wastes no time. The second one is the worst because it is too stilted and has essentially three moves before where it needs to end up.,3,stage3-rank1,0.87229,2,4,EZH0YonIj3N0FNYnXEIcel6a2xy1,266829,1.29883,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 1,"The best has the smoothest transition. The worst moves too fast, can't tell how it grows over time.",0,stage1-rank1,0.11439,4,4,ErQz5vm1QUd2INh3quk6OG32s7n2,260354,0,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 1,"The best has the smoothest transition. The worst moves too fast, can't tell how it grows over time.",0,stage2-rank1,0,2,0,ErQz5vm1QUd2INh3quk6OG32s7n2,260354,0.15487,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 1,"The best has the smoothest transition. The worst moves too fast, can't tell how it grows over time.",0,stage2-rank2,0.41565,3,3,ErQz5vm1QUd2INh3quk6OG32s7n2,260354,0.85487,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 1,"The best has the smoothest transition. The worst moves too fast, can't tell how it grows over time.",0,stage2-rank3,0.91565,1,2,ErQz5vm1QUd2INh3quk6OG32s7n2,260354,1.35487,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 1,"The best has the smoothest transition. The worst moves too fast, can't tell how it grows over time.",0,stage3-rank1,0.08484,5,1,ErQz5vm1QUd2INh3quk6OG32s7n2,260354,0.69883,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 4,The best lets me see how it changed over time. The worst moves too fast that you can't tell how it fluctuated.,1,stage1-rank1,1.01439,4,3,ErQz5vm1QUd2INh3quk6OG32s7n2,97961,0.39096,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 4,The best lets me see how it changed over time. The worst moves too fast that you can't tell how it fluctuated.,1,stage2-rank1,0.74426,3,1,ErQz5vm1QUd2INh3quk6OG32s7n2,97961,0.92981,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 4,The best lets me see how it changed over time. The worst moves too fast that you can't tell how it fluctuated.,1,stage2-rank2,1.11565,2,4,ErQz5vm1QUd2INh3quk6OG32s7n2,97961,1.25487,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 4,The best lets me see how it changed over time. The worst moves too fast that you can't tell how it fluctuated.,1,stage2-rank3,1.64426,5,2,ErQz5vm1QUd2INh3quk6OG32s7n2,97961,1.52981,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 4,The best lets me see how it changed over time. The worst moves too fast that you can't tell how it fluctuated.,1,stage3-rank1,0.87229,1,0,ErQz5vm1QUd2INh3quk6OG32s7n2,97961,1.29883,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 2,The best follows the path as it grows. The worst just pops up immediately.,2,stage1-rank1,0.11439,4,0,ErQz5vm1QUd2INh3quk6OG32s7n2,96271,0,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 2,The best follows the path as it grows. The worst just pops up immediately.,2,stage2-rank1,0,2,3,ErQz5vm1QUd2INh3quk6OG32s7n2,96271,0.15487,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 2,The best follows the path as it grows. The worst just pops up immediately.,2,stage2-rank2,0.41565,3,1,ErQz5vm1QUd2INh3quk6OG32s7n2,96271,0.85487,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 2,The best follows the path as it grows. The worst just pops up immediately.,2,stage2-rank3,0.91565,5,4,ErQz5vm1QUd2INh3quk6OG32s7n2,96271,1.35487,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 2,The best follows the path as it grows. The worst just pops up immediately.,2,stage3-rank1,0,1,2,ErQz5vm1QUd2INh3quk6OG32s7n2,96271,0.69883,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 3,The best transition is easy on the eyes. The worst makes it hard to follow with all the switching around.,3,stage1-rank1,0.36439,3,3,ErQz5vm1QUd2INh3quk6OG32s7n2,136870,0.04096,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 3,The best transition is easy on the eyes. The worst makes it hard to follow with all the switching around.,3,stage2-rank1,0.22139,5,1,ErQz5vm1QUd2INh3quk6OG32s7n2,136870,0.47506,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 3,The best transition is easy on the eyes. The worst makes it hard to follow with all the switching around.,3,stage2-rank2,1.39426,4,0,ErQz5vm1QUd2INh3quk6OG32s7n2,136870,1.57981,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 3,The best transition is easy on the eyes. The worst makes it hard to follow with all the switching around.,3,stage2-rank3,2.46565,2,2,ErQz5vm1QUd2INh3quk6OG32s7n2,136870,2.90487,FALSE
25-34,Associate or Bachelors degree,Female,no,Stimulus 3,The best transition is easy on the eyes. The worst makes it hard to follow with all the switching around.,3,stage3-rank1,0.48871,1,4,ErQz5vm1QUd2INh3quk6OG32s7n2,136870,1.24883,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 1,"The best animation shows the data moving around the chart more clear.
The worst moves slowly and and not as clear as all the others.",0,stage1-rank1,0.11439,4,2,FW4rZrF1DaPENGXpUsRt1z5prbF3,301292,0,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 1,"The best animation shows the data moving around the chart more clear.
The worst moves slowly and and not as clear as all the others.",0,stage2-rank1,0,1,4,FW4rZrF1DaPENGXpUsRt1z5prbF3,301292,0.15487,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 1,"The best animation shows the data moving around the chart more clear.
The worst moves slowly and and not as clear as all the others.",0,stage2-rank2,0.41565,3,1,FW4rZrF1DaPENGXpUsRt1z5prbF3,301292,0.85487,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 1,"The best animation shows the data moving around the chart more clear.
The worst moves slowly and and not as clear as all the others.",0,stage2-rank3,0.91565,2,3,FW4rZrF1DaPENGXpUsRt1z5prbF3,301292,1.35487,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 1,"The best animation shows the data moving around the chart more clear.
The worst moves slowly and and not as clear as all the others.",0,stage3-rank1,0.08484,5,0,FW4rZrF1DaPENGXpUsRt1z5prbF3,301292,0.69883,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 2,The best shows the data moving better than all the others while the worst isn't very clear.,1,stage1-rank1,0.11439,1,4,FW4rZrF1DaPENGXpUsRt1z5prbF3,124438,0,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 2,The best shows the data moving better than all the others while the worst isn't very clear.,1,stage2-rank1,0,2,3,FW4rZrF1DaPENGXpUsRt1z5prbF3,124438,0.15487,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 2,The best shows the data moving better than all the others while the worst isn't very clear.,1,stage2-rank2,0.41565,4,1,FW4rZrF1DaPENGXpUsRt1z5prbF3,124438,0.85487,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 2,The best shows the data moving better than all the others while the worst isn't very clear.,1,stage2-rank3,0.91565,3,0,FW4rZrF1DaPENGXpUsRt1z5prbF3,124438,1.35487,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 2,The best shows the data moving better than all the others while the worst isn't very clear.,1,stage3-rank1,0,5,2,FW4rZrF1DaPENGXpUsRt1z5prbF3,124438,0.69883,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 4,The best plays the transition smoother and is moving better while the worst automatically shows the end and it is slow.,2,stage1-rank1,1.01439,5,2,FW4rZrF1DaPENGXpUsRt1z5prbF3,232804,0.39096,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 4,The best plays the transition smoother and is moving better while the worst automatically shows the end and it is slow.,2,stage2-rank1,0.74426,4,0,FW4rZrF1DaPENGXpUsRt1z5prbF3,232804,0.92981,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 4,The best plays the transition smoother and is moving better while the worst automatically shows the end and it is slow.,2,stage2-rank2,1.11565,3,1,FW4rZrF1DaPENGXpUsRt1z5prbF3,232804,1.25487,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 4,The best plays the transition smoother and is moving better while the worst automatically shows the end and it is slow.,2,stage2-rank3,1.64426,2,3,FW4rZrF1DaPENGXpUsRt1z5prbF3,232804,1.52981,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 4,The best plays the transition smoother and is moving better while the worst automatically shows the end and it is slow.,2,stage3-rank1,0.87229,1,4,FW4rZrF1DaPENGXpUsRt1z5prbF3,232804,1.29883,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 3,"The best automatically changes the location of the name and the data, while the worst takes a while to move the data.",3,stage1-rank1,0.36439,1,3,FW4rZrF1DaPENGXpUsRt1z5prbF3,129944,0.04096,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 3,"The best automatically changes the location of the name and the data, while the worst takes a while to move the data.",3,stage2-rank1,0.22139,3,0,FW4rZrF1DaPENGXpUsRt1z5prbF3,129944,0.47506,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 3,"The best automatically changes the location of the name and the data, while the worst takes a while to move the data.",3,stage2-rank2,1.39426,4,2,FW4rZrF1DaPENGXpUsRt1z5prbF3,129944,1.57981,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 3,"The best automatically changes the location of the name and the data, while the worst takes a while to move the data.",3,stage2-rank3,2.46565,2,4,FW4rZrF1DaPENGXpUsRt1z5prbF3,129944,2.90487,FALSE
35-44,"Some college, no degree",Female,no,Stimulus 3,"The best automatically changes the location of the name and the data, while the worst takes a while to move the data.",3,stage3-rank1,0.48871,5,1,FW4rZrF1DaPENGXpUsRt1z5prbF3,129944,1.24883,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 3,"I believe the first one gives the viewer more of a straightforward idea of what if happening in the chart animation.
The worst one is just less refined, less usable.",0,stage1-rank1,0.36439,1,2,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,528995,0.04096,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 3,"I believe the first one gives the viewer more of a straightforward idea of what if happening in the chart animation.
The worst one is just less refined, less usable.",0,stage2-rank1,0.22139,4,4,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,528995,0.47506,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 3,"I believe the first one gives the viewer more of a straightforward idea of what if happening in the chart animation.
The worst one is just less refined, less usable.",0,stage2-rank2,1.39426,3,0,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,528995,1.57981,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 3,"I believe the first one gives the viewer more of a straightforward idea of what if happening in the chart animation.
The worst one is just less refined, less usable.",0,stage2-rank3,2.46565,5,3,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,528995,2.90487,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 3,"I believe the first one gives the viewer more of a straightforward idea of what if happening in the chart animation.
The worst one is just less refined, less usable.",0,stage3-rank1,0.48871,2,1,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,528995,1.24883,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one for me is just a much more understandable chart animation. The worst one is just more crudely put together, looks childish and less easy to follow.",1,stage1-rank1,0.11439,1,1,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,177897,0,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one for me is just a much more understandable chart animation. The worst one is just more crudely put together, looks childish and less easy to follow.",1,stage2-rank1,0,4,0,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,177897,0.15487,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one for me is just a much more understandable chart animation. The worst one is just more crudely put together, looks childish and less easy to follow.",1,stage2-rank2,0.41565,2,3,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,177897,0.85487,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one for me is just a much more understandable chart animation. The worst one is just more crudely put together, looks childish and less easy to follow.",1,stage2-rank3,0.91565,3,2,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,177897,1.35487,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 2,"The first one for me is just a much more understandable chart animation. The worst one is just more crudely put together, looks childish and less easy to follow.",1,stage3-rank1,0,5,4,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,177897,0.69883,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 1,I like the way the best one shows the filtering process and then the rest flows nicely. The worst one is just less easy to follow.,2,stage1-rank1,0.11439,2,1,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,163200,0,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 1,I like the way the best one shows the filtering process and then the rest flows nicely. The worst one is just less easy to follow.,2,stage2-rank1,0,5,0,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,163200,0.15487,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 1,I like the way the best one shows the filtering process and then the rest flows nicely. The worst one is just less easy to follow.,2,stage2-rank2,0.41565,3,3,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,163200,0.85487,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 1,I like the way the best one shows the filtering process and then the rest flows nicely. The worst one is just less easy to follow.,2,stage2-rank3,0.91565,1,2,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,163200,1.35487,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 1,I like the way the best one shows the filtering process and then the rest flows nicely. The worst one is just less easy to follow.,2,stage3-rank1,0.08484,4,4,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,163200,0.69883,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 4,The first one is just more understandable and clear. I just had a real dislike for the ones that didn't display in the way that one and two did.,3,stage1-rank1,1.01439,1,2,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,144504,0.39096,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 4,The first one is just more understandable and clear. I just had a real dislike for the ones that didn't display in the way that one and two did.,3,stage2-rank1,0.74426,3,4,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,144504,0.92981,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 4,The first one is just more understandable and clear. I just had a real dislike for the ones that didn't display in the way that one and two did.,3,stage2-rank2,1.11565,5,0,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,144504,1.25487,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 4,The first one is just more understandable and clear. I just had a real dislike for the ones that didn't display in the way that one and two did.,3,stage2-rank3,1.64426,2,3,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,144504,1.52981,FALSE
55-64,Associate or Bachelors degree,Female,no,Stimulus 4,The first one is just more understandable and clear. I just had a real dislike for the ones that didn't display in the way that one and two did.,3,stage3-rank1,0.87229,4,1,G6ZFgvmY7fTIulxl3p9jXiWeYuw1,144504,1.29883,FALSE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,i like in this survey Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,0,stage1-rank1,0.11439,3,3,GAW4YHuawGcxOlKMGMuwHBrPmPC2,5122706,0,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,i like in this survey Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,0,stage2-rank1,0,2,4,GAW4YHuawGcxOlKMGMuwHBrPmPC2,5122706,0.15487,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,i like in this survey Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,0,stage2-rank2,0.41565,1,0,GAW4YHuawGcxOlKMGMuwHBrPmPC2,5122706,0.85487,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,i like in this survey Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,0,stage2-rank3,0.91565,4,2,GAW4YHuawGcxOlKMGMuwHBrPmPC2,5122706,1.35487,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,i like in this survey Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,0,stage3-rank1,0,5,1,GAW4YHuawGcxOlKMGMuwHBrPmPC2,5122706,0.69883,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,1,stage1-rank1,1.01439,4,0,GAW4YHuawGcxOlKMGMuwHBrPmPC2,367251,0.39096,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,1,stage2-rank1,0.74426,1,3,GAW4YHuawGcxOlKMGMuwHBrPmPC2,367251,0.92981,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,1,stage2-rank2,1.11565,2,2,GAW4YHuawGcxOlKMGMuwHBrPmPC2,367251,1.25487,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,1,stage2-rank3,1.64426,3,1,GAW4YHuawGcxOlKMGMuwHBrPmPC2,367251,1.52981,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,1,stage3-rank1,0.87229,5,4,GAW4YHuawGcxOlKMGMuwHBrPmPC2,367251,1.29883,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,2,stage1-rank1,0.36439,4,0,GAW4YHuawGcxOlKMGMuwHBrPmPC2,128827,0.04096,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,2,stage2-rank1,0.22139,2,2,GAW4YHuawGcxOlKMGMuwHBrPmPC2,128827,0.47506,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,2,stage2-rank2,1.39426,1,3,GAW4YHuawGcxOlKMGMuwHBrPmPC2,128827,1.57981,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,2,stage2-rank3,2.46565,5,4,GAW4YHuawGcxOlKMGMuwHBrPmPC2,128827,2.90487,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,2,stage3-rank1,0.48871,3,1,GAW4YHuawGcxOlKMGMuwHBrPmPC2,128827,1.24883,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,3,stage1-rank1,0.11439,1,3,GAW4YHuawGcxOlKMGMuwHBrPmPC2,141449,0,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,3,stage2-rank1,0,4,1,GAW4YHuawGcxOlKMGMuwHBrPmPC2,141449,0.15487,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,3,stage2-rank2,0.41565,2,2,GAW4YHuawGcxOlKMGMuwHBrPmPC2,141449,0.85487,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,3,stage2-rank3,0.91565,5,4,GAW4YHuawGcxOlKMGMuwHBrPmPC2,141449,1.35487,TRUE
45-54,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,Imagine that these animations will be shown in a presentation. Your task is to rank the animaitons in order of how well they represent the transition in a clear and logical way.,3,stage3-rank1,0.08484,3,0,GAW4YHuawGcxOlKMGMuwHBrPmPC2,141449,0.69883,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 3,the features of the animations best game,0,stage1-rank1,0.36439,1,3,GWs3fzs8Hwb9znfuciPSLvGBa9w2,99020,0.04096,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 3,the features of the animations best game,0,stage2-rank1,0.22139,5,0,GWs3fzs8Hwb9znfuciPSLvGBa9w2,99020,0.47506,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 3,the features of the animations best game,0,stage2-rank2,1.39426,2,2,GWs3fzs8Hwb9znfuciPSLvGBa9w2,99020,1.57981,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 3,the features of the animations best game,0,stage2-rank3,2.46565,3,4,GWs3fzs8Hwb9znfuciPSLvGBa9w2,99020,2.90487,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 3,the features of the animations best game,0,stage3-rank1,0.48871,4,1,GWs3fzs8Hwb9znfuciPSLvGBa9w2,99020,1.24883,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 4,the animations good and best features on,1,stage1-rank1,1.01439,1,4,GWs3fzs8Hwb9znfuciPSLvGBa9w2,80248,0.39096,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 4,the animations good and best features on,1,stage2-rank1,0.74426,2,3,GWs3fzs8Hwb9znfuciPSLvGBa9w2,80248,0.92981,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 4,the animations good and best features on,1,stage2-rank2,1.11565,3,2,GWs3fzs8Hwb9znfuciPSLvGBa9w2,80248,1.25487,TRUE
18-24,"Graduate (MS, PhD) or Professional degree",Female,no,Stimulus 4,the animations good and best features on,1,stage2-rank3,1.64426,5,1,GWs3fzs8Hwb9znfuciPSLvGBa9w2,80248,1.52981,TRUE
